Token -> Lexema: var | Tipo: Palavra Reservada | Linha: 1 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 1 | Coluna: 5
Token -> Lexema: a | Tipo: Identificador | Linha: 1 | Coluna: 13
Token -> Lexema: ; | Tipo: Delimitador | Linha: 1 | Coluna: 14
Token -> Lexema: const | Tipo: Palavra Reservada | Linha: 2 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 2 | Coluna: 7
Token -> Lexema: b | Tipo: Identificador | Linha: 2 | Coluna: 15
Token -> Lexema: = | Tipo: Operador Relacional | Linha: 2 | Coluna: 17
Token -> Lexema: fff | Tipo: Identificador | Linha: 2 | Coluna: 19
Token -> Lexema: ; | Tipo: Delimitador | Linha: 2 | Coluna: 22
Token -> Lexema: var | Tipo: Palavra Reservada | Linha: 3 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 3 | Coluna: 5
Token -> Lexema: a | Tipo: Identificador | Linha: 3 | Coluna: 13
Token -> Lexema: ; | Tipo: Delimitador | Linha: 3 | Coluna: 14
Token -> Lexema: const | Tipo: Palavra Reservada | Linha: 4 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 4 | Coluna: 7
Token -> Lexema: b | Tipo: Identificador | Linha: 4 | Coluna: 15
Token -> Lexema: = | Tipo: Operador Relacional | Linha: 4 | Coluna: 17
Token -> Lexema: 10 | Tipo: Numero | Linha: 4 | Coluna: 19
Token -> Lexema: ; | Tipo: Delimitador | Linha: 4 | Coluna: 21
Token -> Lexema: programa | Tipo: Palavra Reservada | Linha: 5 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 5 | Coluna: 10
Token -> Lexema: a | Tipo: Identificador | Linha: 5 | Coluna: 18
Token -> Lexema: ( | Tipo: Delimitador | Linha: 5 | Coluna: 19
Token -> Lexema: ) | Tipo: Delimitador | Linha: 5 | Coluna: 20
Token -> Lexema: inicio | Tipo: Palavra Reservada | Linha: 6 | Coluna: 1
Token -> Lexema: var | Tipo: Palavra Reservada | Linha: 7 | Coluna: 5
